manufacturer,film_name,iso,format
ADOX,CHS 100 II,100,120
ADOX,CHS 100 II,100,35mm
ADOX,CHS 100 II,100,4x5
ADOX,CHS 100 II,100,8x10
ADOX,CMS 20 II,20,120
ADOX,CMS 20 II,20,35mm
ADOX,CMS 20 II Pro,20,35mm
ADOX,Color Mission 200,200,35mm
ADOX,Color Mission Helios,3,35mm
ADOX,Color Mission Helios,3,4x5
ADOX,HR-50,50,120
ADOX,HR-50,50,35mm
ADOX,Scala 50,50,120
ADOX,Scala 50,50,35mm
ADOX,Silvermax 100,100,35mm
Agfa,APX 25,25,35mm
Agfa,Copex Rapid,50,120
Agfa,Copex Rapid,50,35mm
Agfa,CT Precisa 100,100,35mm
Agfa,Optima 100,100,35mm
Agfa,Optima 200,200,35mm
Agfa,Optima 400,400,35mm
Agfa,Scala 200x,200,35mm
Agfa,Ultra 100,100,35mm
Agfa,Ultra 50,50,35mm
Agfa,Vista 200,200,35mm
Agfa,Vista 400,400,35mm
AgfaPhoto,APX 100,100,120
AgfaPhoto,APX 100,100,35mm
AgfaPhoto,APX 400,400,120
AgfaPhoto,APX 400,400,35mm
AgfaPhoto,Color 400,400,35mm
Argenti,ARF+ Reporter Film Plus,400,35mm
Argenti,Nanotomic X,32,35mm
Argenti,Pan-X,100,35mm
Argenti,Scale-X,100,35mm
Arista,EDU Ultra 100,100,120
Arista,EDU Ultra 100,100,35mm
Arista,EDU Ultra 100,100,4x5
Arista,EDU Ultra 200,200,120
Arista,EDU Ultra 200,200,35mm
Arista,EDU Ultra 400,400,120
Arista,EDU Ultra 400,400,35mm
Arista,EDU Ultra 400,400,4x5
Bergger,Pancro 400,400,120
Bergger,Pancro 400,400,35mm
Bergger,Pancro 400,400,4x5
Bergger,Pancro 400,400,5x7
Bergger,Pancro 400,400,8x10
Bergger,Pancro 400,400,11x14
CatLABS,X Film 320,320,35mm
CatLABS,X Film 320 Pro,320,120
CatLABS,X Film 320 Pro,320,35mm
CatLABS,X Film 80,80,120
CatLABS,X Film 80,80,4x5
CatLABS,X Film 80,80,8x10
Cinema Shorts,BW 200,200,35mm
Cinema Shorts,BW 3200,3200,35mm
Cinema Shorts,Vision3 500T,500,35mm
Cinema Shorts,Vision3 50D,50,35mm
CineStill,400D,400,120
CineStill,400D,400,35mm
CineStill,400D,400,4x5
CineStill,50D,50,120
CineStill,50D,50,35mm
CineStill,50D,50,4x5
CineStill,800T,800,120
CineStill,800T,800,35mm
CineStill,800T,800,4x5
CineStill,BwXX,250,120
CineStill,BwXX,250,35mm
CineStill,Red Rum,200,120
dubblefilm,Apollo,200,35mm
dubblefilm,Bubblegum,200,35mm
dubblefilm,Cinema 800,800,35mm
dubblefilm,Daily,400,35mm
dubblefilm,Daily Black & White,400,35mm
dubblefilm,Daily Color,400,35mm
dubblefilm,GLITCH,200,35mm
dubblefilm,Jelly,200,35mm
dubblefilm,Pacific,200,35mm
dubblefilm,Solar,200,35mm
dubblefilm,Stereo,200,35mm
Efke,25,25,120
Efke,25,25,35mm
Efke,25,25,4x5
Efke,50,50,120
Efke,50,50,35mm
Efke,50,50,4x5
Efke,IR820,100,120
Efke,IR820,100,35mm
Efke,IR820,100,4x5
Ferrania,Solaris 100,100,35mm
Ferrania,Solaris 200,200,35mm
Ferrania,Solaris 400,400,35mm
Film Ferrania,Orto,50,35mm
Film Ferrania,P30,80,35mm
Film Ferrania,P33,160,35mm
Film Washi,A,12,35mm
Film Washi,D,500,35mm
Film Washi,E,3,35mm
Film Washi,F,100,35mm
Film Washi,S,50,35mm
Film Washi,V,25,35mm
Film Washi,W,25,35mm
Film Washi,W,25,120
Film Washi,X,100,35mm
Film Washi,Z,400,35mm
Flic Film,Aurora 800,800,35mm
Flic Film,Chrome,100,35mm
Flic Film,Cine Color 200T,200,35mm
Flic Film,Cine Color 250D,250,35mm
Flic Film,Cine Color 500T,500,35mm
Flic Film,Cine Color 50D,50,35mm
Flic Film,Elektra 100,100,35mm
Flic Film,UltraPan 100,100,120
Flic Film,UltraPan 100,100,35mm
Flic Film,UltraPan 200,200,120
Flic Film,UltraPan 200,200,35mm
Flic Film,UltraPan 400,400,120
Flic Film,UltraPan 400,400,35mm
Flic Film,Wolfen 100,100,35mm
Flic Film,XX-250,250,35mm
Foma,Fomapan 100 Classic,100,120
Foma,Fomapan 100 Classic,100,35mm
Foma,Fomapan 100 Classic,100,4x5
Foma,Fomapan 100 Classic,100,5x7
Foma,Fomapan 100 Classic,100,8x10
Foma,Fomapan 200 Creative,200,120
Foma,Fomapan 200 Creative,200,35mm
Foma,Fomapan 200 Creative,200,5x7
Foma,Fomapan 400 Action,400,120
Foma,Fomapan 400 Action,400,35mm
Foma,Fomapan 400 Action,400,4x5
Foma,Fomapan 400 Action,400,5x7
Foma,Fomapan 400 Action,400,8x10
Foma,Fomapan Ortho 400,400,120
Foma,Fomapan Ortho 400,400,35mm
Foma,Fomapan Ortho 400,400,4x5
Foma,Fomapan R 100,100,35mm
Foma,Retropan 320 Soft,320,120
Foma,Retropan 320 Soft,320,35mm
FPP,BW 100,100,35mm
FPP,Derev Pan 100,100,35mm
FPP,Derev Pan 200,200,35mm
FPP,Derev Pan 400,400,35mm
FPP,Dracula,64,120
FPP,Dracula,64,35mm
FPP,Emulsion X,100,35mm
FPP,Frankenstein,200,120
FPP,Frankenstein,200,35mm
FPP,Frankenstein,200,4x5
FPP,Retrochrome 400,400,35mm
FPP,Svema FN64,64,35mm
FPP,Svema Foto 100,100,35mm
FPP,Svema Foto 200,200,35mm
FPP,Svema Foto 400,400,35mm
FPP,The Mummy 400,400,120
FPP,The Mummy 400,400,35mm
FPP,The Mummy 400,400,4x5
FPP,The Mummy 400,400,8x10
FPP,Wolfman,100,120
FPP,Wolfman,100,35mm
FPP,X2,200,35mm
Fujifilm,Astia 100F,100,120
Fujifilm,Astia 100F,100,35mm
Fujifilm,C200,200,35mm
Fujifilm,FP-100C,100,Instant (Peel-apart)
Fujifilm,FP-3000B,3000,Instant (Peel-apart)
Fujifilm,Fujichrome T64,64,120
Fujifilm,Fujichrome T64,64,35mm
Fujifilm,Fujicolor 100,100,35mm
Fujifilm,Fujicolor 200,200,35mm
Fujifilm,Fujicolor Superia Premium 400,400,35mm
Fujifilm,Fujifilm 200,200,35mm
Fujifilm,Fujifilm 400,400,35mm
Fujifilm,Instax Mini,800,Instax Mini
Fujifilm,Instax Mini Monochrome,800,Instax Mini
Fujifilm,Instax Square,800,Instax Square
Fujifilm,Instax Wide,800,Instax Wide
Fujifilm,Natura 1600,1600,35mm
Fujifilm,Neopan 100 Acros,100,120
Fujifilm,Neopan 100 Acros,100,35mm
Fujifilm,Neopan 1600,1600,35mm
Fujifilm,Neopan 400,400,120
Fujifilm,Neopan 400,400,35mm
Fujifilm,Neopan Acros 100 II,100,120
Fujifilm,Neopan Acros 100 II,100,35mm
Fujifilm,Nexia 100,100,APS
Fujifilm,Nexia 200,200,APS
Fujifilm,Nexia 400,400,APS
Fujifilm,Nexia 800,800,APS
Fujifilm,NPH 400,400,120
Fujifilm,NPH 400,400,35mm
Fujifilm,NPS 160,160,120
Fujifilm,NPS 160,160,35mm
Fujifilm,Pro 160NS,160,120
Fujifilm,Pro 160NS,160,35mm
Fujifilm,Pro 400H,400,120
Fujifilm,Pro 400H,400,35mm
Fujifilm,Provia 100F,100,120
Fujifilm,Provia 100F,100,35mm
Fujifilm,Provia 100F,100,4x5
Fujifilm,Provia 100F,100,8x10
Fujifilm,Reala 100,100,120
Fujifilm,Reala 100,100,35mm
Fujifilm,Sensia 100,100,35mm
Fujifilm,Sensia 200,200,35mm
Fujifilm,Superia 1600,1600,35mm
Fujifilm,Superia 200,200,35mm
Fujifilm,Superia 400,400,35mm
Fujifilm,Superia 800,800,35mm
Fujifilm,Superia X-TRA 400,400,35mm
Fujifilm,Velvia 100,100,120
Fujifilm,Velvia 100,100,35mm
Fujifilm,Velvia 100,100,4x5
Fujifilm,Velvia 100F,100,120
Fujifilm,Velvia 100F,100,35mm
Fujifilm,Velvia 50,50,120
Fujifilm,Velvia 50,50,35mm
Fujifilm,Velvia 50,50,4x5
Harman,Phoenix 200,200,35mm
Harman,Phoenix II 200,200,120
Harman,Phoenix II 200,200,35mm
Harman,Phoenix Red,200,35mm
Harman,RED 125,125,120
Harman,RED 125,125,35mm
Holga,400,400,120
Ilford,Delta 100,100,120
Ilford,Delta 100,100,35mm
Ilford,Delta 100,100,4x5
